"","parameters.lazinessPrior","parameters.lazyPulling","parameters.gaussianNoise","predictives.confounded evidence_single_win","predictives.strong indirect evidence_single_win","predictives.weak indirect evidence_single_win","predictives.diverse evidence_single_win","predictives.confounded evidence_single_loss","predictives.strong indirect evidence_single_loss","predictives.weak indirect evidence_single_loss","predictives.diverse evidence_single_loss","predictives.confounded with partner_double_win","predictives.confounded with opponent_double_win","predictives.strong indirect evidence_double_win","predictives.weak indirect evidence_double_win","predictives.diverse evidence_double_win","predictives.round robin_double_win","predictives.confounded with partner_double_loss","predictives.confounded with opponent_double_loss","predictives.strong indirect evidence_double_loss","predictives.weak indirect evidence_double_loss","predictives.diverse evidence_double_loss","predictives.round robin_double_loss","prob"
"1",0.46,0.91,0.41,0.613,1.0394,0.2746,1.0192,-0.5726,-1.035,-0.2954,-1.0674,0.6754,0.7902,1.1072,0.1826,0.9494,1.1674,-0.7348,-0.7488,-1.1222,-0.175,-0.9334,-1.1118,3.21756216270928e-21
"2",0.46,0.91,0.31,0.6,1.0304,0.342,1.0088,-0.5422,-0.969,-0.2802,-1.032,0.7328,0.8206,1.1508,0.2182,0.9218,1.211,-0.6566,-0.6718,-1.0588,-0.2346,-0.9626,-1.206,1.48588151686478e-16
"3",0.46,0.91,0.21,0.5656,1.043,0.3286,1.0974,-0.5432,-0.9992,-0.3562,-0.9442,0.7162,0.6934,1.1378,0.2062,0.874,1.2488,-0.7302,-0.7094,-1.1272,-0.229,-0.8806,-1.245,6.58080827007325e-16
"4",0.46,0.91,0.11,0.57,1.0314,0.4028,1.0448,-0.518,-1.0854,-0.3554,-1.0526,0.7298,0.6498,1.0794,0.125,1.0034,1.1554,-0.7334,-0.723,-1.0976,-0.217,-0.9062,-1.1822,0.0000000000018275146521806
"5",0.46,0.91,0.01,0.5478,1.049,0.3604,1.05,-0.6076,-1.0726,-0.429,-1.0492,0.8494,0.694,1.1508,0.1552,0.8932,1.1956,-0.7552,-0.6574,-1.1254,-0.224,-0.854,-1.2058,0.00000136897664905642
"6",0.46,0.81,0.41,0.5784,1.0182,0.3148,1.0522,-0.6696,-1.0254,-0.3778,-1.0264,0.7306,0.698,1.0648,0.1794,0.8432,1.182,-0.7432,-0.7672,-1.061,-0.2024,-0.8794,-1.215,4.30994844450271e-22
"7",0.46,0.81,0.31,0.5884,1.0382,0.4088,1.0482,-0.7072,-0.9976,-0.2774,-0.998,0.705,0.738,1.1176,0.1678,0.9114,1.217,-0.7178,-0.7242,-1.1346,-0.2914,-0.9534,-1.197,0.0000000000000177212777140608
"8",0.46,0.81,0.21,0.5792,1.0304,0.3106,0.9666,-0.6042,-1.0604,-0.3826,-1.0316,0.725,0.7158,1.053,0.1384,0.9304,1.183,-0.6946,-0.7696,-1.0808,-0.2082,-0.941,-1.2302,0.00000000000379459589036355
"9",0.46,0.81,0.11,0.6178,1.0392,0.3954,1.0504,-0.6598,-1.024,-0.2912,-1.0072,0.705,0.6874,1.1214,0.1284,0.8988,1.1906,-0.7624,-0.7148,-1.088,-0.2082,-0.901,-1.1948,0.0000000000306338883064292
"10",0.46,0.81,0.01,0.6074,1.0578,0.33,1.03,-0.634,-0.9812,-0.3122,-1.008,0.7372,0.7924,1.1348,0.2506,0.8906,1.2188,-0.8258,-0.7378,-1.125,-0.272,-0.9112,-1.2736,0.000871731350801681
"11",0.46,0.71,0.41,0.5672,1.005,0.3758,1.0408,-0.5878,-0.9954,-0.4082,-0.9972,0.6688,0.7284,1.0326,0.1774,0.971,1.152,-0.6484,-0.7164,-1.1432,-0.0942,-0.931,-1.2316,1.64922008916656e-23
"12",0.46,0.71,0.31,0.6124,1.0222,0.2858,0.9816,-0.5484,-1.0128,-0.2906,-1.059,0.7316,0.7704,1.1242,0.1468,0.9022,1.1858,-0.6968,-0.728,-1.0558,-0.2792,-0.9342,-1.1956,1.39655064420481e-15
"13",0.46,0.71,0.21,0.6082,0.9374,0.368,1.0544,-0.6312,-0.9916,-0.3236,-0.9782,0.7058,0.7322,0.987,0.1032,0.967,1.1898,-0.7266,-0.7994,-1.0412,-0.2732,-0.9332,-1.179,0.000000000000336355780175446
"14",0.46,0.71,0.11,0.6362,1.0688,0.3094,1.0388,-0.6176,-1.0154,-0.3712,-1.0298,0.783,0.729,1.0576,0.2254,0.8426,1.144,-0.755,-0.7228,-1.0882,-0.1604,-0.8398,-1.2064,0.0000000000903437004276418
"15",0.46,0.71,0.01,0.5892,1.0106,0.3016,0.9814,-0.6322,-1.0626,-0.3832,-0.9722,0.7028,0.7336,1.073,0.2184,0.9444,1.1586,-0.6706,-0.7036,-1.0694,-0.1752,-0.93,-1.206,0.000036685785486601
"16",0.46,0.61,0.41,0.5528,0.9842,0.3194,1.0112,-0.6418,-1.0572,-0.2832,-1.0354,0.7524,0.7594,1.0528,0.1728,0.9304,1.1442,-0.6742,-0.8362,-1.043,-0.1692,-0.9112,-1.182,4.69603835994412e-21
"17",0.46,0.61,0.31,0.5726,1.0126,0.3706,1.0044,-0.6568,-1.024,-0.2636,-0.9872,0.7342,0.714,1.055,0.1822,0.923,1.1498,-0.7182,-0.6664,-0.987,-0.2708,-0.89,-1.165,6.78464323209267e-19
