"","parameters.lazinessPrior","parameters.lazyPulling","parameters.gaussianNoise","predictives.confounded evidence_single_win","predictives.strong indirect evidence_single_win","predictives.weak indirect evidence_single_win","predictives.diverse evidence_single_win","predictives.confounded evidence_single_loss","predictives.strong indirect evidence_single_loss","predictives.weak indirect evidence_single_loss","predictives.diverse evidence_single_loss","predictives.confounded with partner_double_win","predictives.confounded with opponent_double_win","predictives.strong indirect evidence_double_win","predictives.weak indirect evidence_double_win","predictives.diverse evidence_double_win","predictives.round robin_double_win","predictives.confounded with partner_double_loss","predictives.confounded with opponent_double_loss","predictives.strong indirect evidence_double_loss","predictives.weak indirect evidence_double_loss","predictives.diverse evidence_double_loss","predictives.round robin_double_loss"
"1",0.0195711212619696,0.379778424324468,0.0830120611470193,2.7543,3.1738,2.5633,3.2016,1.6622,1.268,1.8633,1.237,2.9927,2.9496,3.2192,2.3989,3.0823,3.3594,1.4933,1.47,1.2103,1.9996,1.315,1.1149
"1.1",0.0195711212619696,0.379778424324468,0.0830120611470193,2.7543,3.1738,2.5633,3.2016,1.6622,1.268,1.8633,1.237,2.9927,2.9496,3.2192,2.3989,3.0823,3.3594,1.4933,1.47,1.2103,1.9996,1.315,1.1149
"1.2",0.0195711212619696,0.379778424324468,0.0830120611470193,2.7543,3.1738,2.5633,3.2016,1.6622,1.268,1.8633,1.237,2.9927,2.9496,3.2192,2.3989,3.0823,3.3594,1.4933,1.47,1.2103,1.9996,1.315,1.1149
"1.3",0.0195711212619696,0.379778424324468,0.0830120611470193,2.7543,3.1738,2.5633,3.2016,1.6622,1.268,1.8633,1.237,2.9927,2.9496,3.2192,2.3989,3.0823,3.3594,1.4933,1.47,1.2103,1.9996,1.315,1.1149
"1.4",0.0195711212619696,0.379778424324468,0.0830120611470193,2.7543,3.1738,2.5633,3.2016,1.6622,1.268,1.8633,1.237,2.9927,2.9496,3.2192,2.3989,3.0823,3.3594,1.4933,1.47,1.2103,1.9996,1.315,1.1149
"1.5",0.0195711212619696,0.379778424324468,0.0830120611470193,2.7543,3.1738,2.5633,3.2016,1.6622,1.268,1.8633,1.237,2.9927,2.9496,3.2192,2.3989,3.0823,3.3594,1.4933,1.47,1.2103,1.9996,1.315,1.1149
"2",0.00467052497633736,0.379778424324468,0.0830120611470193,2.7808,3.2223,2.5703,3.2306,1.6529,1.2325,1.8993,1.2136,2.9771,2.9726,3.2677,2.3676,3.1042,3.3946,1.5006,1.508,1.2212,2.0078,1.3379,1.0628
"2.1",0.00467052497633736,0.379778424324468,0.0830120611470193,2.7808,3.2223,2.5703,3.2306,1.6529,1.2325,1.8993,1.2136,2.9771,2.9726,3.2677,2.3676,3.1042,3.3946,1.5006,1.508,1.2212,2.0078,1.3379,1.0628
"2.2",0.00467052497633736,0.379778424324468,0.0830120611470193,2.7808,3.2223,2.5703,3.2306,1.6529,1.2325,1.8993,1.2136,2.9771,2.9726,3.2677,2.3676,3.1042,3.3946,1.5006,1.508,1.2212,2.0078,1.3379,1.0628
"2.3",0.00467052497633736,0.379778424324468,0.0830120611470193,2.7808,3.2223,2.5703,3.2306,1.6529,1.2325,1.8993,1.2136,2.9771,2.9726,3.2677,2.3676,3.1042,3.3946,1.5006,1.508,1.2212,2.0078,1.3379,1.0628
"2.4",0.00467052497633736,0.379778424324468,0.0830120611470193,2.7808,3.2223,2.5703,3.2306,1.6529,1.2325,1.8993,1.2136,2.9771,2.9726,3.2677,2.3676,3.1042,3.3946,1.5006,1.508,1.2212,2.0078,1.3379,1.0628
"2.5",0.00467052497633736,0.379778424324468,0.0830120611470193,2.7808,3.2223,2.5703,3.2306,1.6529,1.2325,1.8993,1.2136,2.9771,2.9726,3.2677,2.3676,3.1042,3.3946,1.5006,1.508,1.2212,2.0078,1.3379,1.0628
